Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
95,-3.206954736,15.74195129,0.100841447,-2.653606791,15.77402309,0.115710269
95.5,-3.199158184,15.75513347,0.101258643,-2.641343436,15.79143062,0.116195218
96,-3.191108067,15.76872177,0.101674916,-2.62926782,15.8092129,0.116676943
96.5,-3.18305795,15.78231007,0.102091189,-2.617192204,15.82699517,0.117158667
97,-3.174789307,15.79629783,0.102506217,-2.605311409,15.84514379,0.11763687
97.5,-3.166520664,15.8102856,0.102921245,-2.593430614,15.86329241,0.118115073
98,-3.158065482,15.82466634,0.103334717,-2.581753326,15.88179862,0.11858944
98.5,-3.1496103,15.83904708,0.103748189,-2.570076037,15.90030484,0.119063807
99,-3.140999969,15.85381416,0.104159787,-2.558608755,15.91916014,0.119534049
99.5,-3.132389637,15.86858123,0.104571386,-2.547141473,15.93801545,0.12000429
100,-3.123650395,15.88372842,0.104980827,-2.535888359,15.95721166,0.120470142
100.5,-3.114911153,15.89887562,0.105390269,-2.524635245,15.97640787,0.120935994
101,-3.106068776,15.91439663,0.105797263,-2.513602456,15.99593635,0.121397174
101.5,-3.097226399,15.92991765,0.106204258,-2.502569666,16.01546483,0.121858355
102,-3.088304739,15.94580623,0.106608523,-2.491760778,16.03531734,0.122314613
102.5,-3.079383079,15.96169481,0.107012788,-2.48095189,16.05516984,0.12277087
103,-3.070403422,15.97794485,0.107414058,-2.470368732,16.07533836,0.123221977
103.5,-3.061423765,15.99419489,0.107815327,-2.459785573,16.09550688,0.123673085
104,-3.052404918,16.01080048,0.108213351,-2.449432845,16.11598284,0.124118784
104.5,-3.043386071,16.02740607,0.108611374,-2.439080117,16.13645881,0.124564484
105,-3.034348037,16.04436098,0.109005881,-2.428959211,16.15723418,0.125004562
105.5,-3.025310003,16.0613159,0.109400388,-2.418838304,16.17800955,0.125444639
106,-3.01626787,16.07861441,0.109791151,-2.408950994,16.19907618,0.12587888
106.5,-3.007225737,16.09591292,0.110181915,-2.399063683,16.22014281,0.126313121
107,-2.998195168,16.11354912,0.110568696,-2.389410272,16.24149279,0.126741333
107.5,-2.989164598,16.13118532,0.110955478,-2.379756861,16.26284277,0.127169545
108,-2.980156412,16.14915383,0.111338084,-2.370338694,16.28446797,0.12759153
108.5,-2.971148225,16.16712234,0.111720691,-2.360920527,16.30609316,0.128013515
109,-2.962178136,16.18541701,0.112098875,-2.351739128,16.32798537,0.128429077
109.5,-2.953208047,16.20371168,0.112477059,-2.342557728,16.34987759,0.128844639
110,-2.944285999,16.22232703,0.112850629,-2.333610527,16.37202938,0.129253638
110.5,-2.935363951,16.24094239,0.1132242,-2.324663326,16.39418118,0.129662637
111,-2.926499554,16.25987292,0.113592967,-2.315952021,16.4165843,0.130064888
111.5,-2.917635157,16.27880346,0.113961734,-2.307240716,16.43898741,0.130467138
112,-2.90883748,16.29804365,0.114325513,-2.29876419,16.46163412,0.130862495
112.5,-2.900039803,16.31728385,0.114689291,-2.290287663,16.48428082,0.131257852
113,-2.8913168,16.33682826,0.115047907,-2.282045755,16.50716318,0.131646166
113.5,-2.882593796,16.35637267,0.115406523,-2.273803847,16.53004554,0.132034479
114,-2.873952531,16.37621592,0.11575981,-2.265792998,16.55315633,0.132415649
114.5,-2.865311266,16.39605916,0.116113097,-2.257782149,16.57626713,0.132796819
115,-2.856757982,16.4161959,0.116460899,-2.250004936,16.59959789,0.133170672
115.5,-2.848204697,16.43633265,0.116808702,-2.242227723,16.62292864,0.133544525
116,-2.839744875,16.4567576,0.117150872,-2.234680264,16.64647218,0.13391098
116.5,-2.831285052,16.47718256,0.117493042,-2.227132805,16.67001572,0.134277436
117,-2.822923471,16.49789049,0.117829441,-2.219814195,16.6937643,0.13463638
117.5,-2.81456189,16.51859843,0.11816584,-2.212495585,16.71751288,0.134995324
118,-2.80630268,16.53958415,0.118496337,-2.205404168,16.74145892,0.13534666
118.5,-2.79804347,16.56056987,0.118826835,-2.19831275,16.76540496,0.135697996
119,-2.789890163,16.58182824,0.11915131,-2.191446756,16.78954092,0.136041636
119.5,-2.781736856,16.60308661,0.119475785,-2.184580762,16.81367689,0.136385276
120,-2.773692432,16.62461253,0.119794124,-2.177938325,16.83799527,0.13672114
120.5,-2.765648008,16.64613844,0.120112464,-2.171295888,16.86231366,0.137057004
121,-2.757715103,16.66792681,0.12042456,-2.16487506,16.88680701,0.137385022
121.5,-2.749782197,16.68971518,0.120736656,-2.158454232,16.91130036,0.137713039
122,-2.74196232,16.71176107,0.121042419,-2.152252993,16.93596126,0.138033146
122.5,-2.734142443,16.73380695,0.121348181,-2.146051754,16.96062216,0.138353254
123,-2.726437658,16.75610529,0.121647515,-2.140068029,16.98544323,0.138665396
123.5,-2.718732873,16.77840363,0.121946849,-2.134084303,17.0102643,0.138977537
124,-2.71114419,16.80094951,0.122239675,-2.128315966,17.03523822,0.139281666
124.5,-2.703555506,16.82349538,0.122532501,-2.122547629,17.06021213,0.139585795
125,-2.696083732,16.84628388,0.122818746,-2.11699252,17.08533159,0.139881871
125.5,-2.688611957,16.86907238,0.123104991,-2.111437411,17.11045106,0.140177947
126,-2.681257561,16.89209862,0.123384588,-2.106093339,17.13570881,0.140465937
126.5,-2.673903164,16.91512487,0.123664186,-2.100749266,17.16096656,0.140753927
